DEPTH,Shale,Dolomite,Limestone,Primary Porosity,Secondary Porosity,Facie C
4047.066,0.161093,0.612989,0.14922,0.00383,0.072868,6
4047.2184,0.130594,0.67417,0.114415,0.003963,0.076858,9
4047.3708,0.112493,0.689,0.117722,0.004054,0.076731,9
4047.5232,0.106708,0.639255,0.178447,0.004109,0.071481,9
4047.6756,0.101824,0.571962,0.257214,0.004167,0.064833,9
4047.828,0.084194,0.499749,0.350667,0.004273,0.061117,7
4047.9804,0.070746,0.426115,0.438005,0.004342,0.060793,7
4048.1328,0.068093,0.369042,0.49508,0.004342,0.063443,7
4048.2852,0.067621,0.333062,0.528389,0.004329,0.0666,7
4048.4376,0.066942,0.304588,0.555368,0.004321,0.06878,7
4048.59,0.0708,0.252406,0.600903,0.004288,0.071603,7
4048.7424,0.073207,0.250245,0.595754,0.004251,0.076544,7
4048.8948,0.073207,0.250188,0.595619,0.00425,0.076736,7
4049.0472,0.063738,0.256843,0.598509,0.004302,0.076608,7
4049.1996,0.063114,0.248215,0.607702,0.004301,0.076668,7
4049.352,0.064075,0.295802,0.559237,0.004297,0.076589,7
4049.5044,0.059073,0.375059,0.485483,0.004324,0.076061,7
4049.6568,0.059072,0.45708,0.403454,0.004324,0.07607,7
4049.8092,0.055867,0.515422,0.350429,0.004351,0.073931,9
4049.9616,0.055801,0.518793,0.352792,0.00438,0.068234,9
4050.114,0.052779,0.469992,0.410249,0.004423,0.062557,7
4050.2664,0.053196,0.432174,0.450471,0.004435,0.059723,7
4050.4188,0.055941,0.417325,0.465997,0.004439,0.056298,7
4050.5712,0.050441,0.403985,0.483246,0.004458,0.05787,7
4050.7236,0.050441,0.383961,0.502237,0.004453,0.058908,7
4050.876,0.049596,0.445038,0.437237,0.004475,0.063655,7
4051.0284,0.053037,0.473326,0.406681,0.004422,0.062533,7
4051.1808,0.051391,0.490171,0.398135,0.004464,0.055839,7
4051.3332,0.050388,0.480688,0.414308,0.004497,0.050119,7
4051.4856,0.053968,0.421876,0.478168,0.004523,0.041465,8
4051.638,0.050273,0.347683,0.563603,0.004579,0.033861,8
4051.7904,0.042781,0.319968,0.601009,0.006834,0.029408,8
4051.9428,0.042781,0.338157,0.584147,0.006843,0.028071,8
4052.0952,0.048713,0.332852,0.585057,0.006712,0.026666,8
4052.2476,0.049948,0.307963,0.607314,0.004599,0.030176,8
4052.4,0.048925,0.312379,0.597116,0.00457,0.03701,8
4052.5524,0.048352,0.316971,0.585392,0.008233,0.041052,8
4052.7048,0.04835,0.263144,0.637778,0.008218,0.04251,8
4052.8572,0.033733,0.266122,0.644995,0.008311,0.046838,8
4053.0096,0.033733,0.266122,0.644995,0.008311,0.046838,8
4053.162,0.034444,0.204988,0.709101,0.00466,0.046807,8
4053.3144,0.03538,0.060225,0.860623,0.004695,0.039078,8
4053.4668,0.03538,0.060225,0.860623,0.004695,0.039078,8
4053.6192,0.03538,0.043026,0.877822,0.004695,0.039078,8
4053.7716,0.03538,0.0751,0.845342,0.005083,0.039095,8
4053.924,0.03538,0.121345,0.801029,0.005094,0.037152,8
4054.0764,0.03538,0.242281,0.678583,0.005085,0.038671,8
4054.2288,0.031433,0.264791,0.656011,0.007888,0.039878,8
4054.3812,0.030107,0.292509,0.626381,0.008848,0.042155,8
4054.5336,0.024548,0.371462,0.544364,0.004602,0.055025,7
4054.686,0.024548,0.372811,0.543014,0.004602,0.055025,7
4054.8384,0.020966,0.366787,0.557939,0.013067,0.041242,8
4054.9908,0.017035,0.405376,0.523017,0.015595,0.038976,8
4055.1432,0.015017,0.428772,0.497555,0.014591,0.044066,8
4055.2956,0.010848,0.415593,0.511486,0.013263,0.048811,8
4055.448,0.004199,0.419138,0.514624,0.010742,0.051297,7
4055.6004,0.000001,0.4244,0.514105,0.011966,0.049528,8
4055.7528,0,0.425581,0.515587,0.011758,0.047074,8
4055.9052,0,0.351367,0.591624,0.012658,0.044351,8
4056.0576,0,0.36829,0.57039,0.010935,0.050385,7
4056.21,0,0.394592,0.540725,0.010978,0.053705,7
4056.3624,0,0.538515,0.390099,0.011556,0.059829,9
4056.5148,0,0.568068,0.360547,0.011556,0.059829,9
4056.6672,0,0.568974,0.362489,0.00965,0.058886,9
4056.8196,0,0.737723,0.193741,0.00965,0.058886,9
4056.972,0,0.72161,0.215886,0.02132,0.041185,10
4057.1244,0.000075,0.724324,0.21744,0.016422,0.041738,10
4057.2768,0.001331,0.711506,0.230439,0.01182,0.044905,10
4057.4292,0.007513,0.703457,0.231682,0.012722,0.044627,10
4057.5816,0.015366,0.736049,0.184973,0.014314,0.049299,10
4057.734,0.017665,0.718886,0.194915,0.012413,0.056121,9
4057.8864,0.017665,0.694063,0.217598,0.012384,0.05829,9
4058.0388,0.013638,0.705449,0.203982,0.014131,0.0628,9
4058.1912,0.012165,0.694704,0.213325,0.014109,0.065697,9
4058.3436,0.012165,0.681799,0.225524,0.014098,0.066415,9
4058.496,0.000127,0.684401,0.233183,0.015953,0.066336,9
4058.6484,0.001585,0.680504,0.235633,0.014372,0.067906,9
4058.8008,0.001693,0.651728,0.26131,0.011721,0.073548,9
4058.9532,0.002212,0.586768,0.329532,0.008892,0.072596,9
4059.1056,0.002397,0.619878,0.295889,0.009253,0.072583,9
4059.258,0.000283,0.633359,0.296118,0.01408,0.05616,9
4059.4104,0.001793,0.693471,0.235757,0.016956,0.052023,9
4059.5628,0.003105,0.621868,0.304795,0.016877,0.053356,9
4059.7152,0.013259,0.549474,0.360582,0.024261,0.052425,9
4059.8676,0.013259,0.508387,0.401669,0.024261,0.052425,9
4060.02,0.006291,0.488081,0.421848,0.011595,0.072185,7
4060.1724,0.006307,0.548252,0.361616,0.011642,0.072184,9
4060.3248,0,0.571139,0.350314,0.014416,0.064131,9
