Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1038.4,0.0332,0.0018,1,0.6241
P1,1038.5,0.0874,0.0334,1,0.5282
P1,1038.6,0.115,0.1198,0.7965,0.4251
P1,1038.7,0.1145,0.1118,0.8197,0.4273
P1,1038.8,0.1039,0.0901,0.7891,0.4803
P1,1038.9,0.0763,0.0222,1,0.5469
P1,1039,0.0228,0.0006,1,0.6511
P1,1039.1,0.0001,0,1,0.8914
P1,1039.2,0.0001,0,1,0.9473
P1,1039.3,0.0001,0,1,0.9365
P1,1039.4,0.0001,0,1,0.957
P1,1039.5,0.0001,0,1,0.8894
P1,1039.6,0.0002,0,1,0.8735
P1,1039.7,0.0449,0.0045,1,0.5999
P1,1039.8,0.094,0.0415,1,0.5158
P1,1039.9,0.09,0.0401,0.9535,0.5235
P1,1040,0.0219,0.0005,1,0.6539
P1,1040.1,0.0021,0,1,0.7812
P1,1040.2,0.0001,0,1,0.9446
P1,1040.3,0.0001,0,1,1
P1,1040.4,0.0001,0,1,0.9633
P1,1040.5,0.0003,0,1,0.8583
P1,1040.6,0.0004,0,1,0.8472
P1,1040.7,0.003,0,1,0.7655
P1,1040.8,0.0391,0.003,1,0.6114
P1,1040.9,0.1054,0.0999,0.7656,0.4344
P1,1041,0.1268,0.1861,0.7397,0.2912
P1,1041.1,0.132,0.2079,0.7437,0.2355
P1,1041.2,0.1281,0.1901,0.7433,0.2411
P1,1041.3,0.1132,0.1186,0.7824,0.3235
P1,1041.4,0.1058,0.1212,0.6989,0.3986
P1,1041.5,0.0949,0.0745,0.758,0.5086
P1,1041.6,0.0899,0.0411,0.9407,0.5237
P1,1041.7,0.0943,0.0527,0.8916,0.5151
P1,1041.8,0.1139,0.1282,0.7597,0.4303
P1,1041.9,0.1153,0.1562,0.7004,0.4235
P1,1042,0.1133,0.1449,0.7086,0.4334
P1,1042.1,0.1059,0.1192,0.7059,0.4704
P1,1042.2,0.0868,0.0397,0.9087,0.5292
P1,1042.3,0.0443,0.0044,1,0.601
P1,1042.4,0.0319,0.0016,1,0.6271
P1,1042.5,0.0487,0.0058,1,0.5929
