Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1039.1,0.0001,,1.0,0.8914
P1,1039.2,0.0001,,1.0,0.9473
P1,1039.3,0.0001,,1.0,0.9365
P1,1039.4,0.0001,,1.0,0.9570000000000001
P1,1039.5,0.0001,,1.0,0.8894
P1,1039.6,0.0002,,1.0,0.8735
P1,1040.1,0.0021,,1.0,0.7812
P1,1040.2,0.0001,,1.0,0.9446
P1,1040.3,0.0001,,1.0,1.0
P1,1040.4,0.0001,,1.0,0.9633
P1,1040.5,0.0003,,1.0,0.8583
P1,1040.6,0.0004,,1.0,0.8472
P1,1040.7,0.003,,1.0,0.7655
P1,1043.9,0.0073,,1.0,0.7201
P1,1044.8,0.0042,,1.0,0.7482
P1,1044.9,0.0003,,1.0,0.8644
P1,1045.0,0.0001,,1.0,0.9323
P1,1045.1,0.0001,,1.0,0.9196
P1,1045.2,0.0071,,1.0,0.7213
P1,1047.3,0.0005,,1.0,0.8464
P1,1047.4,0.0001,,1.0,1.0
P1,1047.5,0.0001,,1.0,1.0
P1,1047.6,0.0005,,1.0,0.8402
P1,1048.3,0.0005,,1.0,0.8452
P1,1048.4,0.0001,,1.0,1.0
P1,1048.5,0.0001,,1.0,1.0
P1,1048.6,0.0001,,1.0,1.0
P1,1048.7,0.0001,,1.0,1.0
P1,1048.8,0.0001,,1.0,0.9749
P1,1048.9,0.0001,,1.0,0.9496
P1,1049.0,0.0001,,1.0,0.9709
P1,1049.1,0.0001,,1.0,0.9794
P1,1049.2,0.0006,,1.0,0.8373
P1,1049.3,0.009000000000000001,,1.0,0.708
P1,1049.8,0.0035,,1.0,0.7569
P1,1049.9,0.0002,,1.0,0.8784
P1,1050.0,0.0001,,1.0,1.0
P1,1050.1,0.0001,,1.0,1.0
P1,1050.2,0.0001,,1.0,1.0
P1,1050.3,0.0001,,1.0,1.0
P1,1050.4,0.0001,,1.0,1.0
P1,1050.5,0.0001,,1.0,1.0
P1,1050.6,0.0001,,1.0,1.0
P1,1050.7,0.0002,,1.0,0.8689
P1,1050.8,0.0003,,1.0,0.8606
P1,1050.9,0.0001,,1.0,0.9065
P1,1051.0,0.0001,,1.0,1.0
P1,1051.1,0.0001,,1.0,0.9539
P1,1051.2,0.0094,,1.0,0.7059
P1,1051.3,0.0001,,1.0,0.8966
P1,1051.4,0.0001,,1.0,0.9162
P1,1051.5,0.0036,,1.0,0.7561
P1,1053.2,0.0019,,1.0,0.7859
P1,1053.3,0.0001,,1.0,1.0
P1,1053.4,0.0001,,1.0,1.0
P1,1053.5,0.0001,,1.0,1.0
P1,1053.6,0.0001,,1.0,1.0
P1,1053.7,0.0001,,1.0,1.0
P1,1053.8,0.0001,,1.0,1.0
P1,1053.9,0.0001,,1.0,1.0
P1,1054.0,0.0001,,1.0,1.0
P1,1054.1,0.0001,,1.0,1.0
P1,1054.2,0.0001,,1.0,1.0
P1,1054.3,0.0001,,1.0,1.0
P1,1054.4,0.0001,,1.0,1.0
P1,1054.5,0.0001,,1.0,1.0
P1,1054.6,0.0001,,1.0,1.0
P1,1054.7,0.0006,,1.0,0.8364
P1,1055.5,0.0041,,1.0,0.7499
P1,1055.6,0.0005,,1.0,0.8403
P1,1055.7,0.0001,,1.0,0.9058
P1,1055.8,0.0001,,1.0,0.8868
P1,1055.9,0.001,,1.0,0.8157
P1,1059.1,0.0016,,1.0,0.7945
P1,1059.2,0.0002,,1.0,0.8757
P1,1059.3,0.0005,,1.0,0.8432
P1,1061.1,0.0077,,1.0,0.7170000000000001
P1,1061.2,0.0003,,1.0,0.8561
P1,1061.3,0.0002,,1.0,0.8857
P1,1061.4,0.0001,,1.0,0.8988
P1,1061.5,0.0001,,1.0,0.9165
P1,1061.6,0.0001,,1.0,0.8905
P1,1061.7,0.0006,,1.0,0.8386
P1,1062.5,0.0001,,1.0,0.9556
P1,1062.6,0.0014,,1.0,0.8012
P1,1062.7,0.0029,,1.0,0.7662
P1,1062.8,0.0002,,1.0,0.8809999999999999
P1,1062.9,0.0002,,1.0,0.8841
P1,1063.0,0.0001,,1.0,1.0
P1,1063.1,0.0001,,1.0,1.0
P1,1063.2,0.0001,,1.0,0.9867
P1,1063.3,0.0025,,1.0,0.7739
P1,1064.1,0.0003,,1.0,0.8634
P1,1064.2,0.0001,,1.0,0.9582
P1,1064.3,0.0015,,1.0,0.7981
P1,1065.0,0.0049,,1.0,0.7408
P1,1065.1,0.005,,1.0,0.7394
P1,1066.0,0.0006,,1.0,0.8332
P1,1066.1,0.0003,,1.0,0.8671
P1,1066.2,0.0001,,1.0,0.9085
P1,1066.3,0.0001,,1.0,0.9304
P1,1066.4,0.0001,,1.0,0.9822
P1,1066.5,0.0001,,1.0,0.9151
P1,1066.6,0.0001,,1.0,1.0
P1,1066.7,0.0001,,1.0,1.0
P1,1066.8,0.0001,,1.0,1.0
P1,1066.9,0.0001,,1.0,1.0
P1,1067.0,0.0001,,1.0,0.9814
P1,1067.1,0.0001,,1.0,0.8877
P1,1067.2,0.0001,,1.0,0.981
P1,1067.3,0.0001,,1.0,1.0
P1,1067.4,0.0001,,1.0,0.9983
P1,1067.5,0.0001,,1.0,0.8941
P1,1067.6,0.0089,,1.0,0.7085
P1,1067.8,0.0045,,1.0,0.7446
P1,1067.9,0.0001,,1.0,0.9177
P1,1068.0,0.0001,,1.0,1.0
P1,1068.1,0.0001,,1.0,0.9488
P1,1068.2,0.0001,,1.0,1.0
P1,1068.3,0.0001,,1.0,0.9045
P1,1068.4,0.0001,,1.0,0.9196
P1,1068.5,0.0001,,1.0,0.9863
P1,1068.6,0.0003,,1.0,0.8606
P1,1068.7,0.0001,,1.0,0.99
P1,1068.8,0.0012,,1.0,0.8077
P1,1070.4,0.0007,,1.0,0.8305
P1,1070.5,0.0001,,1.0,1.0
P1,1070.6,0.0001,,1.0,0.9938
P1,1070.7,0.0001,,1.0,0.9207
P1,1070.8,0.0028,,1.0,0.7682
P1,1071.2,0.0061,,1.0,0.7291
P1,1071.3,0.0001,,1.0,0.9098
P1,1071.4,0.0001,,1.0,0.966
P1,1071.5,0.0001,,1.0,1.0
P1,1071.6,0.0001,,1.0,1.0
P1,1071.7,0.0001,,1.0,0.9866
P1,1071.8,0.0032,,1.0,0.7614
P1,1072.3,0.0068,,1.0,0.7239
P1,1072.4,0.0001,,1.0,0.9085
P1,1072.5,0.0001,,1.0,0.9877
P1,1072.6,0.0001,,1.0,0.9392
P1,1072.7,0.0006,,1.0,0.8383
P1,1074.0,0.0001,,1.0,0.9685
P1,1074.1,0.0001,,1.0,0.9623
P1,1074.2,0.0001,,1.0,0.892
P1,1074.3,0.0031,,1.0,0.7638
P1,1074.4,0.0095,,1.0,0.7049
P1,1074.6,0.0046,,1.0,0.7438
P1,1074.7,0.0004,,1.0,0.847
P1,1074.8,0.0001,,1.0,0.9774
P1,1074.9,0.0001,,1.0,1.0
P1,1075.0,0.0001,,1.0,1.0
P1,1075.1,0.0001,,1.0,1.0
P1,1075.2,0.0001,,1.0,1.0
P1,1075.3,0.0001,,1.0,0.9051
P1,1075.4,0.0011,,1.0,0.8086
P1,1075.5,0.0007,,1.0,0.8282
