Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1039.1,0.0001,0.08219798826502023,1.0,0.8914
P1,1039.2,0.0001,0.055412789769852755,1.0,0.9473
P1,1039.3,0.0001,0.05875350424657089,1.0,0.9365
P1,1039.4,0.0001,0.05375176454367203,1.0,0.957
P1,1039.5,0.0001,0.08336257071484943,1.0,0.8894
P1,1039.6,0.0002,0.09390358456252335,1.0,0.8735
P1,1040.1,0.0021,0.24825561061244528,1.0,0.7812
P1,1040.2,0.0001,0.05611300538557873,1.0,0.9446
P1,1040.3,0.0001,0.06758595586252714,1.0,1.0
P1,1040.4,0.0001,0.05347245267009182,1.0,0.9633
P1,1040.5,0.0003,0.10423774074709113,1.0,0.8583
P1,1040.6,0.0004,0.11247617528893372,1.0,0.8472
P1,1040.7,0.003,0.3906692968600732,1.0,0.7655
P1,1043.9,0.0073,2.368666823363236,1.0,0.7201
P1,1044.8,0.0042,0.8045137208019322,1.0,0.7482
P1,1044.9,0.0003,0.10098654553526654,1.0,0.8644
P1,1045.0,0.0001,0.06040566495203181,1.0,0.9323
P1,1045.1,0.0001,0.06632987329630968,1.0,0.9196
P1,1045.2,0.0071,2.3248639309270507,1.0,0.7213
P1,1047.3,0.0005,0.11606865348507095,1.0,0.8464
P1,1047.4,0.0001,0.06758595586252714,1.0,1.0
P1,1047.5,0.0001,0.06758595586252714,1.0,1.0
P1,1047.6,0.0005,0.11897640129204179,1.0,0.8402
P1,1048.3,0.0005,0.1166489700511853,1.0,0.8452
P1,1048.4,0.0001,0.06758595586252714,1.0,1.0
P1,1048.5,0.0001,0.06758595586252714,1.0,1.0
P1,1048.6,0.0001,0.06758595586252714,1.0,1.0
P1,1048.7,0.0001,0.06758595586252714,1.0,1.0
P1,1048.8,0.0001,0.054844668295115695,1.0,0.9749
P1,1048.9,0.0001,0.054894182836179084,1.0,0.9496
P1,1049.0,0.0001,0.05407861766973132,1.0,0.9709
P1,1049.1,0.0001,0.056097567501828594,1.0,0.9794
P1,1049.2,0.0006,0.12398864556699052,1.0,0.8373
P1,1049.3,0.009000000000000001,2.1592934061813445,1.0,0.708
P1,1049.8,0.0035,0.527896746431536,1.0,0.7569
P1,1049.9,0.0002,0.09109929613189782,1.0,0.8784
P1,1050.0,0.0001,0.06758595586252714,1.0,1.0
P1,1050.1,0.0001,0.06758595586252714,1.0,1.0
P1,1050.2,0.0001,0.06758595586252714,1.0,1.0
P1,1050.3,0.0001,0.06758595586252714,1.0,1.0
P1,1050.4,0.0001,0.06758595586252714,1.0,1.0
P1,1050.5,0.0001,0.06758595586252714,1.0,1.0
P1,1050.6,0.0001,0.06758595586252714,1.0,1.0
P1,1050.7,0.0002,0.09646304711211606,1.0,0.8689
P1,1050.8,0.0003,0.10303256841173114,1.0,0.8606
P1,1050.9,0.0001,0.07344791974227372,1.0,0.9065
P1,1051.0,0.0001,0.06758595586252714,1.0,1.0
P1,1051.1,0.0001,0.05412871842711253,1.0,0.9539
P1,1051.2,0.0094,1.99828093951851,1.0,0.7059
P1,1051.3,0.0001,0.07916367884743147,1.0,0.8966
P1,1051.4,0.0001,0.06810224093184691,1.0,0.9162
P1,1051.5,0.0036,0.5590068913304351,1.0,0.7561
P1,1053.2,0.0019,0.2267655738318497,1.0,0.7859
P1,1053.3,0.0001,0.06758595586252714,1.0,1.0
P1,1053.4,0.0001,0.06758595586252714,1.0,1.0
P1,1053.5,0.0001,0.06758595586252714,1.0,1.0
P1,1053.6,0.0001,0.06758595586252714,1.0,1.0
P1,1053.7,0.0001,0.06758595586252714,1.0,1.0
P1,1053.8,0.0001,0.06758595586252714,1.0,1.0
P1,1053.9,0.0001,0.06758595586252714,1.0,1.0
P1,1054.0,0.0001,0.06758595586252714,1.0,1.0
P1,1054.1,0.0001,0.06758595586252714,1.0,1.0
P1,1054.2,0.0001,0.06758595586252714,1.0,1.0
P1,1054.3,0.0001,0.06758595586252714,1.0,1.0
P1,1054.4,0.0001,0.06758595586252714,1.0,1.0
P1,1054.5,0.0001,0.06758595586252714,1.0,1.0
P1,1054.6,0.0001,0.06758595586252714,1.0,1.0
P1,1054.7,0.0006,0.12438962731393377,1.0,0.8364
P1,1055.5,0.0041,0.7560654063451109,1.0,0.7499
P1,1055.6,0.0005,0.11893126683052813,1.0,0.8403
P1,1055.7,0.0001,0.07384607219768435,1.0,0.9058
P1,1055.8,0.0001,0.08487087261505999,1.0,0.8868
