Pozo,Profundidad,Porosidad,Permeabilidad,Saturacion_agua,Volumen_arcilla
P1,1038.4,0.0332,0.0018,1.0,0.6241
P1,1038.5,0.0874,0.0334,1.0,0.5282
P1,1038.6,0.115,0.1198,0.7965,0.4251
P1,1038.7,0.1145,0.1118,0.8197,0.4273
P1,1038.8,0.1039,0.0901,0.7891,0.4803
P1,1038.9,0.0763,0.0222,1.0,0.5469
P1,1039.0,0.0228,0.0006,1.0,0.6511
P1,1039.1,0.0001,0.08219798826502023,1.0,0.8914
P1,1039.2,0.0001,0.055412789769852755,1.0,0.9473
P1,1039.3,0.0001,0.05875350424657089,1.0,0.9365
P1,1039.4,0.0001,0.05375176454367203,1.0,0.957
P1,1039.5,0.0001,0.08336257071484943,1.0,0.8894
P1,1039.6,0.0002,0.09390358456252335,1.0,0.8735
P1,1039.7,0.0449,0.0045,1.0,0.5999
P1,1039.8,0.094,0.0415,1.0,0.5158
P1,1039.9,0.09,0.0401,0.9535,0.5235
P1,1040.0,0.0219,0.0005,1.0,0.6539
P1,1040.1,0.0021,0.24825561061244528,1.0,0.7812
P1,1040.2,0.0001,0.05611300538557873,1.0,0.9446
P1,1040.3,0.0001,0.06758595586252714,1.0,1.0
P1,1040.4,0.0001,0.05347245267009182,1.0,0.9633
P1,1040.5,0.0003,0.10423774074709113,1.0,0.8583
P1,1040.6,0.0004,0.11247617528893372,1.0,0.8472
P1,1040.7,0.003,0.3906692968600732,1.0,0.7655
P1,1040.8,0.0391,0.003,1.0,0.6114
P1,1040.9,0.1054,0.0999,0.7656,0.4344
P1,1041.0,0.1268,0.1861,0.7397,0.2912
P1,1041.1,0.132,0.2079,0.7437,0.2355
P1,1041.2,0.1281,0.1901,0.7433,0.2411
P1,1041.3,0.1132,0.1186,0.7824,0.3235
P1,1041.4,0.1058,0.1212,0.6989,0.3986
P1,1041.5,0.0949,0.0745,0.758,0.5086
P1,1041.6,0.0899,0.0411,0.9407,0.5237
P1,1041.7,0.0943,0.0527,0.8916,0.5151
P1,1041.8,0.1139,0.1282,0.7597,0.4303
P1,1041.9,0.1153,0.1562,0.7004,0.4235
P1,1042.0,0.1133,0.1449,0.7086,0.4334
P1,1042.1,0.1059,0.1192,0.7059,0.4704
P1,1042.2,0.0868,0.0397,0.9087,0.5292
P1,1042.3,0.0443,0.0044,1.0,0.601
P1,1042.4,0.0319,0.0016,1.0,0.6271
P1,1042.5,0.0487,0.0058,1.0,0.5929
P1,1042.6,0.0803,0.0259,1.0,0.5403
P1,1042.7,0.1121,0.1088,0.8046,0.4376
P1,1042.8,0.1319,0.2283,0.7090000000000001,0.3337
P1,1042.9,0.1452,0.3109,0.7015,0.2561
P1,1043.0,0.1436,0.3002,0.7020000000000001,0.2514
P1,1043.1,0.136,0.2522,0.7065,0.2773
P1,1043.2,0.1308,0.2051,0.7387,0.2954
P1,1043.3,0.1096,0.124,0.7291,0.3985
P1,1043.4,0.0931,0.0669,0.7764,0.4846
P1,1043.5,0.0257,0.0009,1.0,0.6427
P1,1043.6,0.0184,0.0003,1.0,0.6654
P1,1043.7,0.08800000000000001,0.0787,0.6578,0.5059
P1,1043.8,0.0292,0.0012,1.0,0.6336
P1,1043.9,0.0073,2.368666823363236,1.0,0.7201
P1,1044.0,0.0642,0.0132,1.0,0.5664
P1,1044.1,0.0782,0.0239,1.0,0.5439
P1,1044.2,0.0977,0.0779,0.7733,0.5073
P1,1044.3,0.0984,0.0996,0.691,0.5055
P1,1044.4,0.1077,0.1322,0.6872,0.4588
P1,1044.5,0.1073,0.1103,0.7486,0.4608
P1,1044.6,0.1015,0.1019,0.7167,0.4923
P1,1044.7,0.0338,0.0019,1.0,0.6228
P1,1044.8,0.0042,0.8045137208019322,1.0,0.7482
P1,1044.9,0.0003,0.10098654553526654,1.0,0.8644
P1,1045.0,0.0001,0.06040566495203181,1.0,0.9323
P1,1045.1,0.0001,0.06632987329630968,1.0,0.9196
P1,1045.2,0.0071,2.3248639309270507,1.0,0.7213
P1,1045.3,0.0967,0.083,0.7382,0.5067
P1,1045.4,0.1124,0.1476,0.6932,0.4188
P1,1045.5,0.121,0.2132,0.6444,0.3806
P1,1045.6,0.1339,0.2429,0.7027,0.3219
P1,1045.7,0.1384,0.257,0.7181,0.308
P1,1045.8,0.1256,0.1565,0.7954,0.3721
P1,1045.9,0.1102,0.1211,0.7428,0.4492
P1,1046.0,0.0991,0.1021,0.6903,0.4945
P1,1046.1,0.0821,0.0277,1.0,0.5373
P1,1046.2,0.0743,0.0205,1.0,0.5465
P1,1046.3,0.0854,0.0311,1.0,0.4351
P1,1046.4,0.1134,0.0812,0.9482,0.2379
P1,1046.5,0.1324,0.1649,0.8386,0.0877
P1,1046.6,0.1393,0.3035,0.6677,0.0148
P1,1046.7,0.02027776,0.5036,0.7317786550590281,0.1914
